wage,educ,exper,gender,race,married
3.0999999046325684,11,2,female,white,no married
3.240000009536743,12,22,female,white,married
3.0,11,2,male,white,no married
6.0,8,44,male,white,married
5.300000190734863,12,7,male,white,married
8.75,16,9,male,white,married
11.25,18,15,male,white,no married
5.0,12,5,female,white,no married
3.5999999046325684,12,26,female,white,no married
18.18000030517578,17,22,male,white,married
6.25,16,8,female,white,no married
8.130000114440918,13,3,female,white,no married
8.770000457763672,12,15,male,white,married
5.5,12,18,male,white,no married
22.200000762939453,12,31,male,white,married
17.329999923706055,16,14,male,white,married
7.5,12,10,female,white,married
10.630000114440918,13,16,female,white,no married
3.5999999046325684,12,13,female,white,married
4.5,12,36,female,white,married
6.880000114440918,12,11,female,white,no married
8.479999542236328,12,29,male,white,married
6.329999923706055,16,9,female,white,no married
0.5299999713897705,12,3,female,white,no married
6.0,11,37,female,nonwhite,no married
9.5600004196167,16,3,male,nonwhite,married
7.78000020980835,16,11,male,white,married
12.5,16,31,male,white,married
12.5,15,30,male,white,married
3.25,8,9,female,white,married
13.0,14,23,male,white,married
4.5,14,2,female,white,no married
9.68000030517578,13,16,female,white,no married
5.0,12,7,female,white,no married
4.679999828338623,12,3,female,white,no married
4.269999980926514,16,22,female,nonwhite,married
6.150000095367432,12,15,female,nonwhite,married
3.509999990463257,4,39,male,white,married
3.0,14,3,female,white,married
6.25,12,11,female,white,no married
7.809999942779541,12,3,female,white,married
10.0,12,20,female,nonwhite,married
4.5,14,16,female,white,married
4.0,11,45,female,white,married
6.380000114440918,13,11,female,white,no married
13.699999809265137,15,20,male,white,married
1.6699999570846558,10,1,male,white,no married
2.930000066757202,12,36,female,white,married
3.650000095367432,14,9,male,white,no married
2.900000095367432,12,15,female,white,married
1.6299999952316284,12,18,female,white,no married
8.600000381469727,16,3,female,white,no married
5.0,12,15,male,white,married
6.0,12,7,male,white,married
2.5,12,2,male,white,no married
3.25,15,3,male,white,no married
3.400000095367432,16,1,female,white,no married
10.0,8,13,male,nonwhite,no married
21.6299991607666,18,8,female,white,no married
4.380000114440918,16,7,male,white,no married
11.710000038146973,13,40,female,white,no married
12.390000343322754,14,42,male,white,no married
6.25,10,36,male,white,no married
3.7100000381469727,10,13,female,nonwhite,no married
7.78000020980835,14,9,male,white,no married
19.979999542236328,14,26,male,white,married
6.25,16,7,female,nonwhite,married
10.0,12,25,male,white,married
5.710000038146973,16,10,male,white,married
2.0,12,3,female,white,no married
5.710000038146973,16,3,female,white,no married
13.079999923706056,17,17,male,nonwhite,married
4.909999847412109,12,17,male,white,married
2.9100000858306885,12,20,female,white,married
3.75,12,7,female,white,married
11.899999618530272,13,24,male,white,married
4.0,12,28,female,white,married
3.0999999046325684,12,2,female,white,no married
8.449999809265137,12,19,male,white,married
7.139999866485596,18,13,male,white,married
4.5,9,22,male,white,married
4.650000095367432,16,3,male,white,no married
2.900000095367432,10,4,female,white,no married
6.670000076293945,12,7,male,white,no married
3.5,12,6,female,nonwhite,no married
3.259999990463257,12,13,female,white,married
3.25,12,14,female,white,married
8.0,12,14,female,white,no married
9.850000381469728,8,40,male,nonwhite,married
7.5,12,11,male,white,married
5.909999847412109,12,14,male,white,married
11.760000228881836,14,40,male,white,married
3.0,12,1,female,white,no married
4.809999942779541,12,2,female,white,no married
6.5,12,4,female,white,no married
4.0,9,19,female,white,married
3.5,13,1,male,white,no married
13.15999984741211,12,34,male,white,married
4.25,14,5,male,white,married
3.5,12,3,male,white,no married
5.130000114440918,15,6,female,white,no married
3.75,12,14,female,white,married
4.5,12,35,female,white,married
7.630000114440918,12,8,female,white,no married
15.0,14,7,male,nonwhite,married
